file_id,node_id
vaGrNcDSmjAbEde56aEZJq,14:38954
Mzm4PryT5swHQpUvFeJzYx,6071:78
CAWlbFjazlHmReVgSjZ3Rv,239:2001
MDudbvZRQRh7p6fjLy0QAg,4702:133818
jx9nCLCxfbC9TcyzfnB80y,315:29815
S2G9LaozPDdSEEm4NrOt0M,4331:42725
S2G9LaozPDdSEEm4NrOt0M,4331:40340
GT1uj5fzfHfhiOXFAPmvV4,107:2770
Ftgoxn6tQdOMUwZKYLZqpo,4:2
MK4vtavKadY6WkE7AMt8gk,2:113008
nS66EzRqOtWoiPPQk5DrIL,6536:96045
hGEE1GyiWGTO2LRCyWnScy,775:20288
9eGHQ1dU7HiMs7unXd3TcK,920:72929
QnklawDK6jh5sVhJD5RXEk,63:149
RWHIXbbXXRD54HFoKtZ0rO,0:9222
SomZmgeO5qMJczFEUlXzYB,112:279
SomZmgeO5qMJczFEUlXzYB,78:351
SGPffvN9n9NJKwR4aJkZup,2:451
Zhc4X5739Nm9bmPh226jdh,0:6
oWHl4buaAuiXv6wKUPuZsj,1701:6788
6LcWl1dGMiS0PE9Aa9GP0s,853:88204
TnHjx5FEMFHPz7ZzgxmDCt,9:101
7JtEzT46a49zYIvHhNZViG,330:762
pDMMbMkZYPhURQ8bnwBL5N,20:2
dm06UqH84NtySOiyfiolp2,44:15823
pBdP7PyppEDVGrpAZ9dC7o,0:7
df7TzqRv9DeqwYDPXqJ73s,1647:376184
cwtfKh7CwBHQ7f1MHf8H5L,6:14826
GyvuuFRDSaBCtMdanmlJVD,5:573
KUoBmBC0qREs3D5XmHfvip,2:1006
UhKqoGuEeP4mPWZB9x2Dse,108:84
WyskZAWafZGoDviSP1gpAj,1:3
GyHjzcKLmQ1xHVJpEstomc,10:521
z67yCcMKxIFjJyBm2AR2Up,178:362
f5cU18c1CJAaljnyqla0mW,197:3359
uupp69LA4p2y0m8N06C61w,2003:425
Zd1IqtbFzub8uZS0Nt2xq5,2:10
fDBiYd6uZLob8SK6flqmgF,4047:706
E3YcqDh4gk9UM0OzuQ3rDJ,2001:664
qgVM7kJNWfFQFj8VBUoh9S,17090:54736
ctgsHvM9pC9tdjninEUCGa,58:1223
uYBeQ1I4zed6WcUFdd1yPW,4602:58378
